Run,Center.Name,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,BioProject,create_date,AvgSpotLen,Bases,Bytes,tissue,Library.Name,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,dev_stage,Age,isolate,Ecotype,treatment,sample_type,replicate,Collection_Date,Temp,source_name,collected_by,BIOMATERIAL_PROVIDER,genotype,Sample_name,AssemblyName,Collection_time,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,intentional_duplicate..run.,growth_protocol,Developmental_stage,disease,isolation_source,Broker_name,Organism_part,Experimental_Factor._sampling_time..exp.,growth_condition,INSDC_center_alias,Scientific_Name,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,Host,lat_lon,estimated_size,isolation_and_growth_condition,number_of_replicons,plant_developmental_stage,plant_growth_medium,plant_structure,ID,PHENOTYPE,Library,timepoint,lab_host,Development_stage,agent,Group,inbred_line,time_point,strain,population,env_broad_scale,env_local_scale,env_medium,host_tissue_sampled,cell_line,growth_facility,light_regimen,organism_common_name,plant_treatment,ploidy,Sample_id,soil_ph,subspecific_genetic_lineage_name,subspecific_genetic_lineage_rank,watering_regimen,DPI,Host_Age,host_body_habitat,host_last_meal,host_life_stage,variety,tissue_type,Biosample_attributes,isol_growth_condt,Label,replication,Tissue,Sample.Name,Library.Name,Cultivar,dev_stage,Age,genotype,Sample_name,Scientific_Name,variety,tissue,Tissue,Tissue_type,BioProject,Variety,Condition,Study_type,Variety_type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name
DRR285491,CIRA,DRX274948,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292956,PRJDB11441,2023,250,1264880500,428133344,NA,MY-pla2,NA,NA,NA,NA,Moruga Scorpion Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MY-pla_replicate2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292956,MY-pla2,Moruga Scorpion Yellow,NA,NA,NA,MY-pla_replicate2,NA,NA,NA,NA,Placenta,PRJDB11441,,,,,NA,NA,NA
DRR285492,CIRA,DRX274949,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292957,PRJDB11441,2023,300,5115306000,2041954705,NA,MY-pla3,NA,NA,NA,NA,Moruga Scorpion Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MY-pla_replicate3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292957,MY-pla3,Moruga Scorpion Yellow,NA,NA,NA,MY-pla_replicate3,NA,NA,NA,NA,Placenta,PRJDB11441,,,,,NA,NA,NA
DRR099197,KYOTO_AG,DRX092675,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2019,SAMD00089314,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of 110,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annuum,leaf,NA,NA,NA,NA,NA,SAMD00089314,total RNA from Capsicum leaves of 110,110,NA,NA,NA,110,NA,annuum,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099201,KYOTO_AG,DRX092679,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2019,SAMD00089318,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Pun1,NA,NA,NA,NA,Pun1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pun1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089318,total RNA from Capsicum leaves of Pun1,Pun1,NA,NA,NA,Pun1,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099194,KYOTO_AG,DRX092672,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2019,SAMD00089311,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Charapita,NA,NA,NA,NA,Charapita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charapita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089311,total RNA from Capsicum leaves of Charapita,Charapita,NA,NA,NA,Charapita,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099195,KYOTO_AG,DRX092673,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum baccatum,ILLUMINA,2019,SAMD00089312,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Aji Rojo Hot Peppers,NA,NA,NA,NA,Aji Rojo Hot Peppers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aji Rojo Hot Peppers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baccatum,leaf,NA,NA,NA,NA,NA,SAMD00089312,total RNA from Capsicum leaves of Aji Rojo Hot Peppers,Aji Rojo Hot Peppers,NA,NA,NA,Aji Rojo Hot Peppers,NA,baccatum,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099196,KYOTO_AG,DRX092674,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum Hibrid,ILLUMINA,2019,SAMD00089313,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Aji Rojo Hot Peppers x 110,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aji Rojo Hot Peppers x 110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089313,total RNA from Capsicum leaves of Aji Rojo Hot Peppers x 110,,NA,NA,NA,Aji Rojo Hot Peppers x 110,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099198,KYOTO_AG,DRX092676,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum Hibrid,ILLUMINA,2019,SAMD00089315,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of 110 x Aji Rojo Hot Peppers,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110 x Aji Rojo Hot Peppers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089315,total RNA from Capsicum leaves of 110 x Aji Rojo Hot Peppers,,NA,NA,NA,110 x Aji Rojo Hot Peppers,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099199,KYOTO_AG,DRX092677,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum baccatum,ILLUMINA,2019,SAMD00089316,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of 28,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baccatum,leaf,NA,NA,NA,NA,NA,SAMD00089316,total RNA from Capsicum leaves of 28,28,NA,NA,NA,28,NA,baccatum,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099200,KYOTO_AG,DRX092678,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum Hibrid,ILLUMINA,2019,SAMD00089317,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Charapita x 28,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charapita x 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089317,total RNA from Capsicum leaves of Charapita x 28,,NA,NA,NA,Charapita x 28,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099202,KYOTO_AG,DRX092680,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum Hibrid,ILLUMINA,2019,SAMD00089319,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Nikkou x Pun1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nikkou x Pun1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089319,total RNA from Capsicum leaves of Nikkou x Pun1,,NA,NA,NA,Nikkou x Pun1,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099203,KYOTO_AG,DRX092681,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2019,SAMD00089320,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of Nikkou,NA,NA,NA,NA,Nikkou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nikkou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annuum,leaf,NA,NA,NA,NA,NA,SAMD00089320,total RNA from Capsicum leaves of Nikkou,Nikkou,NA,NA,NA,Nikkou,NA,annuum,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
DRR099204,KYOTO_AG,DRX092682,Illumina HiSeq 3000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum Hibrid,ILLUMINA,2019,SAMD00089321,PRJDB5966,2019,NA,NA,NA,NA,total RNA from Capsicum leaves of 28 x Charapita,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28 x Charapita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,leaf,NA,NA,NA,NA,NA,SAMD00089321,total RNA from Capsicum leaves of 28 x Charapita,,NA,NA,NA,28 x Charapita,NA,,NA,NA,Leaves,PRJDB5966,,,,,NA,NA,NA
ERR11577528,University of Florence,ERX10981454,Illumina NovaSeq 6000,PAIRED,RANDOM,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023,SAMEA113777065,PRJEB63286,2023,202,2761663402,958519030,NA,Control 1_p,uncalculated,uncalculated,NA,NA,NA,NA,NA,not applicable,NA,NA,NA,NA,not collected,NA,NA,NA,NA,wild type genotype,E-MTAB-13087:Control 1,NA,NA,SAMEA113777065,"University of Florence Department of Agriculture\, Food\, Environment and Forestry (DAGRI)",2023-11-09T13:00:05Z,2023-11-09T13:00:05Z,public,E-MTAB-13087:Control 1,NA,NA,NA,NA,NA,ArrayExpress,seed,NA,NA,NA,Capsicum annuum,2023-11-09T13:00:05Z,2023-11-09T13:00:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMEA113777065,Control 1_p,NA,NA,NA,wild type genotype,E-MTAB-13087:Control 1,Capsicum annuum,NA,NA,NA,Seeds,PRJEB63286,Friariello,Magnetic nanoparticles seed treatment,Abiotic stress,Cultivar,uncalculated,uncalculated,NA
