Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_time,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,source_name,SRA Study,tissue
SRR13520838,RNA-Seq,assembly,278,5999736900,PRJNA694629,SAMN17528488,1235126919,GEO,30 Days After Anthesis (DAA),public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9931942,GSM5033731,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:26:00Z,1,GSM5033731,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520839,RNA-Seq,assembly,277,5723854200,PRJNA694629,SAMN17528454,1219165993,GEO,30 Days After Anthesis (DAA),public,"bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9931943,GSM5033732,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:17:00Z,1,GSM5033732,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520840,RNA-Seq,assembly,278,6362919450,PRJNA694629,SAMN17528450,1259057939,GEO,40 Days After Anthesis (DAA),public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9931944,GSM5033733,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:10:00Z,1,GSM5033733,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520841,RNA-Seq,assembly,279,6558815250,PRJNA694629,SAMN17528449,1280785840,GEO,40 Days After Anthesis (DAA),public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9931945,GSM5033734,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:21:00Z,1,GSM5033734,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520842,RNA-Seq,assembly,277,7138260000,PRJNA694629,SAMN17528448,1359849064,GEO,50 Days After Anthesis (DAA),public,"sra,bam,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9931946,GSM5033735,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:29:00Z,1,GSM5033735,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520843,RNA-Seq,assembly,276,6543960750,PRJNA694629,SAMN17528447,1280741178,GEO,50 Days After Anthesis (DAA),public,"run.zq,sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9931947,GSM5033736,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:11:00Z,1,GSM5033736,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520844,RNA-Seq,assembly,278,6786765600,PRJNA694629,SAMN17528446,1293626486,GEO,60 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9931948,GSM5033737,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:43:00Z,1,GSM5033737,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520845,RNA-Seq,assembly,281,5743188600,PRJNA694629,SAMN17528453,1208703392,GEO,60 Days After Anthesis (DAA),public,"bam,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9931949,GSM5033738,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:11:00Z,1,GSM5033738,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520846,RNA-Seq,assembly,280,6627039150,PRJNA694629,SAMN17528452,1294180181,GEO,0 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9931950,GSM5033739,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:27:00Z,1,GSM5033739,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520847,RNA-Seq,assembly,279,5964829200,PRJNA694629,SAMN17528451,1255194702,GEO,0 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9931951,GSM5033740,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:23:00Z,1,GSM5033740,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520848,RNA-Seq,assembly,281,5297223450,PRJNA694629,SAMN17528445,1188388463,GEO,10 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9931952,GSM5033741,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:09:00Z,1,GSM5033741,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520849,RNA-Seq,assembly,280,6836796150,PRJNA694629,SAMN17528487,1314360666,GEO,10 Days After Anthesis (DAA),public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9931953,GSM5033742,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:21:00Z,1,GSM5033742,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520850,RNA-Seq,assembly,282,5708789100,PRJNA694629,SAMN17528484,1209679022,GEO,20 Days After Anthesis (DAA),public,"run.zq,sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9931970,GSM5033743,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:22:00Z,1,GSM5033743,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520851,RNA-Seq,assembly,283,6194473650,PRJNA694629,SAMN17528482,1251894927,GEO,20 Days After Anthesis (DAA),public,"bam,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9931971,GSM5033744,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:28:00Z,1,GSM5033744,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520852,RNA-Seq,assembly,281,6500005800,PRJNA694629,SAMN17528480,1277701135,GEO,30 Days After Anthesis (DAA),public,"sra,run.zq,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9931972,GSM5033745,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:26:00Z,1,GSM5033745,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520853,RNA-Seq,assembly,280,5930763000,PRJNA694629,SAMN17528477,1235286072,GEO,30 Days After Anthesis (DAA),public,"run.zq,bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9931973,GSM5033746,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:17:00Z,1,GSM5033746,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520854,RNA-Seq,assembly,278,10072902900,PRJNA694629,SAMN17528475,1560117153,GEO,40 Days After Anthesis (DAA),public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9931974,GSM5033747,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:26:00Z,1,GSM5033747,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520855,RNA-Seq,assembly,276,15146108700,PRJNA694629,SAMN17528473,1971199364,GEO,40 Days After Anthesis (DAA),public,"bam,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9931975,GSM5033748,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:55:00Z,1,GSM5033748,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520856,RNA-Seq,assembly,278,7766746950,PRJNA694629,SAMN17528442,1379526511,GEO,50 Days After Anthesis (DAA),public,"run.zq,sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX9931976,GSM5033749,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:09:00Z,1,GSM5033749,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520857,RNA-Seq,assembly,277,6625627500,PRJNA694629,SAMN17528441,1297221823,GEO,50 Days After Anthesis (DAA),public,"sra,bam,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX9931977,GSM5033750,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:16:00Z,1,GSM5033750,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520858,RNA-Seq,assembly,278,7386160200,PRJNA694629,SAMN17528472,1371438425,GEO,60 Days After Anthesis (DAA),public,"bam,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9931978,GSM5033751,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:18:00Z,1,GSM5033751,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520859,RNA-Seq,assembly,278,6037694850,PRJNA694629,SAMN17528471,1243264521,GEO,60 Days After Anthesis (DAA),public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9931979,GSM5033752,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:10:00Z,1,GSM5033752,F1 cross between Domesticated and Wild,F1 of cross CM x QU,SRP303149,Whole fruit
SRR13520860,RNA-Seq,assembly,281,7165205850,PRJNA694629,SAMN17528470,1344853301,GEO,0 Days After Anthesis (DAA),public,"sra,bam,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9931980,GSM5033753,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:28:00Z,1,GSM5033753,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520861,RNA-Seq,assembly,282,7543368750,PRJNA694629,SAMN17528469,1378119340,GEO,0 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9931981,GSM5033754,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:13:00Z,1,GSM5033754,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520862,RNA-Seq,assembly,281,7466106600,PRJNA694629,SAMN17528440,1345373974,GEO,10 Days After Anthesis (DAA),public,"sra,bam,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9931982,GSM5033755,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:16:00Z,1,GSM5033755,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520863,RNA-Seq,assembly,284,6353178900,PRJNA694629,SAMN17528439,1256393863,GEO,10 Days After Anthesis (DAA),public,"sra,run.zq,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9931983,GSM5033756,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:30:00Z,1,GSM5033756,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520864,RNA-Seq,assembly,282,9608650050,PRJNA694629,SAMN17528438,1580188552,GEO,20 Days After Anthesis (DAA),public,"run.zq,sra,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9931984,GSM5033757,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:26:00Z,1,GSM5033757,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520865,RNA-Seq,assembly,283,5048880000,PRJNA694629,SAMN17528437,1181742018,GEO,20 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9931985,GSM5033758,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:12:00Z,1,GSM5033758,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520866,RNA-Seq,assembly,282,7509194850,PRJNA694629,SAMN17528436,1454963423,GEO,30 Days After Anthesis (DAA),public,"sra,bam,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9931839,GSM5033759,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:13:00Z,1,GSM5033759,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520867,RNA-Seq,assembly,282,6821584650,PRJNA694629,SAMN17528435,1329732117,GEO,30 Days After Anthesis (DAA),public,"bam,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9931840,GSM5033760,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:30:00Z,1,GSM5033760,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520868,RNA-Seq,assembly,282,8369407500,PRJNA694629,SAMN17528434,1488674502,GEO,40 Days After Anthesis (DAA),public,"bam,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9931841,GSM5033761,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:13:00Z,1,GSM5033761,Domesticated variety,California Wonder,SRP303149,Whole fruit
SRR13520869,RNA-Seq,assembly,283,7345684050,PRJNA694629,SAMN17528433,1389280308,GEO,40 Days After Anthesis (DAA),public,"sra,bam,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9931842,GSM5033762,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:18:00Z,1,GSM5033762,Domesticated variety,California Wonder,SRP303149,Whole fruit
